Gene.ID,Gene.Name,Time,Treatment,Replicate,Normalized.Counts
WP_002805169.1,atpE,36,HV,A,197
WP_002805169.1,atpE,36,HV,B,297
WP_002805169.1,atpE,36,HV,C,112
WP_002805854.1,rbcL,0,C,A,434888
WP_002805854.1,rbcL,0,C,B,159252
WP_002805854.1,rbcL,0,C,C,821906
WP_002805854.1,rbcL,0,HV,A,311074
WP_002805854.1,rbcL,0,HV,B,105618
WP_002805854.1,rbcL,0,HV,C,1042656
WP_002805854.1,rbcL,12,C,A,15799
WP_002805854.1,rbcL,12,C,B,12210
WP_002805854.1,rbcL,12,C,C,20751
WP_002805854.1,rbcL,12,HV,A,6039
WP_002805854.1,rbcL,12,HV,B,10630
WP_002805854.1,rbcL,12,HV,C,12648
WP_002805854.1,rbcL,24,HV,A,7098
WP_002805854.1,rbcL,24,HV,B,2561
WP_002805854.1,rbcL,24,HV,C,2580
WP_002805854.1,rbcL,24,C,A,757802
WP_002805854.1,rbcL,24,C,B,1090990
WP_002805854.1,rbcL,36,C,A,16902
WP_002805854.1,rbcL,36,C,B,8479
WP_002805854.1,rbcL,36,C,C,19327
WP_002805854.1,rbcL,36,HV,A,360
WP_002805854.1,rbcL,36,HV,B,535
WP_002805854.1,rbcL,36,HV,C,212
WP_002806014.1,rpsR,0,C,A,21913
WP_002806014.1,rpsR,0,C,B,18407
WP_002806014.1,rpsR,0,C,C,20385
WP_002806014.1,rpsR,0,HV,A,15709
WP_002806014.1,rpsR,0,HV,B,10862
WP_002806014.1,rpsR,0,HV,C,24219
WP_002806014.1,rpsR,12,C,A,15692
WP_002806014.1,rpsR,12,C,B,11460
WP_002806014.1,rpsR,12,C,C,12520
WP_002806014.1,rpsR,12,HV,A,4409
WP_002806014.1,rpsR,12,HV,B,5149
WP_002806014.1,rpsR,12,HV,C,2229
WP_002806014.1,rpsR,24,HV,A,241
WP_002806014.1,rpsR,24,HV,B,213
WP_002806014.1,rpsR,24,HV,C,102
WP_002806014.1,rpsR,24,C,A,30315
WP_002806014.1,rpsR,24,C,B,37500
WP_002806014.1,rpsR,36,C,A,18030
WP_002806014.1,rpsR,36,C,B,12332
WP_002806014.1,rpsR,36,C,C,18701
WP_002806014.1,rpsR,36,HV,A,135
WP_002806014.1,rpsR,36,HV,B,218
WP_002806014.1,rpsR,36,HV,C,111
WP_002806486.1,rpsU,0,C,A,2507
WP_002806486.1,rpsU,0,C,B,2300
WP_002806486.1,rpsU,0,C,C,2560
WP_002806486.1,rpsU,0,HV,A,2160
WP_002806486.1,rpsU,0,HV,B,1639
WP_002806486.1,rpsU,0,HV,C,4387
WP_002806486.1,rpsU,12,C,A,1927
WP_002806486.1,rpsU,12,C,B,1607
WP_002806486.1,rpsU,12,C,C,2041
WP_002806486.1,rpsU,12,HV,A,668
WP_002806486.1,rpsU,12,HV,B,1100
WP_002806486.1,rpsU,12,HV,C,434
WP_002806486.1,rpsU,24,HV,A,89
WP_002806486.1,rpsU,24,HV,B,69
WP_002806486.1,rpsU,24,HV,C,26
WP_002806486.1,rpsU,24,C,A,3054
WP_002806486.1,rpsU,24,C,B,4674
WP_002806486.1,rpsU,36,C,A,1915
WP_002806486.1,rpsU,36,C,B,897
WP_002806486.1,rpsU,36,C,C,2249
WP_002806486.1,rpsU,36,HV,A,12
WP_002806486.1,rpsU,36,HV,B,21
WP_002806486.1,rpsU,36,HV,C,14
WP_007099573.1,psaC,0,C,A,28374
WP_007099573.1,psaC,0,C,B,27642
WP_007099573.1,psaC,0,C,C,35744
WP_007099573.1,psaC,0,HV,A,14544
WP_007099573.1,psaC,0,HV,B,29687
WP_007099573.1,psaC,0,HV,C,52727
WP_007099573.1,psaC,12,C,A,26534
WP_007099573.1,psaC,12,C,B,28000
WP_007099573.1,psaC,12,C,C,41835
WP_007099573.1,psaC,12,HV,A,6907
WP_007099573.1,psaC,12,HV,B,16151
WP_007099573.1,psaC,12,HV,C,7645
WP_007099573.1,psaC,24,HV,A,678
WP_007099573.1,psaC,24,HV,B,592
WP_007099573.1,psaC,24,HV,C,331
WP_007099573.1,psaC,24,C,A,60983
WP_007099573.1,psaC,24,C,B,79993
WP_007099573.1,psaC,36,C,A,57839
WP_007099573.1,psaC,36,C,B,41802
WP_007099573.1,psaC,36,C,C,56310
WP_007099573.1,psaC,36,HV,A,345
WP_007099573.1,psaC,36,HV,B,510
WP_007099573.1,psaC,36,HV,C,337
WP_011131639.1,dnaN,0,C,A,3505
WP_011131639.1,dnaN,0,C,B,4853
WP_011131639.1,dnaN,0,C,C,3370
WP_011131639.1,dnaN,0,HV,A,2469
WP_011131639.1,dnaN,0,HV,B,3364
WP_011131639.1,dnaN,0,HV,C,5084
WP_011131639.1,dnaN,12,C,A,14354
WP_011131639.1,dnaN,12,C,B,13565
WP_011131639.1,dnaN,12,C,C,15426
WP_011131639.1,dnaN,12,HV,A,2678
WP_011131639.1,dnaN,12,HV,B,5891
WP_011131639.1,dnaN,12,HV,C,2340
WP_011131639.1,dnaN,24,HV,A,78
WP_011131639.1,dnaN,24,HV,B,74
WP_011131639.1,dnaN,24,HV,C,70
WP_011131639.1,dnaN,24,C,A,6711
WP_011131639.1,dnaN,24,C,B,5734
WP_011131639.1,dnaN,36,C,A,16858
WP_011131639.1,dnaN,36,C,B,11146
WP_011131639.1,dnaN,36,C,C,19739
WP_011131639.1,dnaN,36,HV,A,95
WP_011131639.1,dnaN,36,HV,B,237
WP_011131639.1,dnaN,36,HV,C,96
WP_011131641.1,purL,0,C,A,3453
WP_011131641.1,purL,0,C,B,4657
WP_011131641.1,purL,0,C,C,3559
WP_011131641.1,purL,0,HV,A,3222
WP_011131641.1,purL,0,HV,B,3466
WP_011131641.1,purL,0,HV,C,5927
WP_011131641.1,purL,12,C,A,14158
WP_011131641.1,purL,12,C,B,11406
WP_011131641.1,purL,12,C,C,13654
WP_011131641.1,purL,12,HV,A,3666
WP_011131641.1,purL,12,HV,B,10147
WP_011131641.1,purL,12,HV,C,5663
WP_011131641.1,purL,24,HV,A,362
WP_011131641.1,purL,24,HV,B,395
WP_011131641.1,purL,24,HV,C,328
WP_011131641.1,purL,24,C,A,5795
WP_011131641.1,purL,24,C,B,5758
WP_011131641.1,purL,36,C,A,11243
WP_011131641.1,purL,36,C,B,6830
WP_011131641.1,purL,36,C,C,12571
WP_011131641.1,purL,36,HV,A,165
WP_011131641.1,purL,36,HV,B,268
WP_011131641.1,purL,36,HV,C,185
WP_011131642.1,purF,0,C,A,3425
WP_011131642.1,purF,0,C,B,4116
WP_011131642.1,purF,0,C,C,3778
WP_011131642.1,purF,0,HV,A,3045
WP_011131642.1,purF,0,HV,B,2309
WP_011131642.1,purF,0,HV,C,5057
WP_011131642.1,purF,12,C,A,5911
WP_011131642.1,purF,12,C,B,5047
WP_011131642.1,purF,12,C,C,5235
WP_011131642.1,purF,12,HV,A,1204
WP_011131642.1,purF,12,HV,B,3602
WP_011131642.1,purF,12,HV,C,1661
WP_011131642.1,purF,24,HV,A,139
WP_011131642.1,purF,24,HV,B,100
WP_011131642.1,purF,24,HV,C,79
WP_011131642.1,purF,24,C,A,5647
WP_011131642.1,purF,24,C,B,4176
WP_011131642.1,purF,36,C,A,4969
WP_011131642.1,purF,36,C,B,2982
WP_011131642.1,purF,36,C,C,5451
WP_011131642.1,purF,36,HV,A,70
WP_011131642.1,purF,36,HV,B,92
WP_011131642.1,purF,36,HV,C,85
WP_011131643.1,PMM0005,0,C,A,1872
WP_011131643.1,PMM0005,0,C,B,2236
WP_011131643.1,PMM0005,0,C,C,2282
WP_011131643.1,PMM0005,0,HV,A,1346
WP_011131643.1,PMM0005,0,HV,B,1514
WP_011131643.1,PMM0005,0,HV,C,3256
WP_011131643.1,PMM0005,12,C,A,10920
WP_011131643.1,PMM0005,12,C,B,7348
WP_011131643.1,PMM0005,12,C,C,6444
WP_011131643.1,PMM0005,12,HV,A,1798
WP_011131643.1,PMM0005,12,HV,B,3636
WP_011131643.1,PMM0005,12,HV,C,1340
WP_011131643.1,PMM0005,24,HV,A,51
WP_011131643.1,PMM0005,24,HV,B,57
WP_011131643.1,PMM0005,24,HV,C,41
WP_011131643.1,PMM0005,24,C,A,3817
WP_011131643.1,PMM0005,24,C,B,2714
WP_011131643.1,PMM0005,36,C,A,7677
WP_011131643.1,PMM0005,36,C,B,4967
WP_011131643.1,PMM0005,36,C,C,9500
WP_011131643.1,PMM0005,36,HV,A,61
WP_011131643.1,PMM0005,36,HV,B,117
WP_011131643.1,PMM0005,36,HV,C,67
WP_011131645.1,queG,0,C,A,559
WP_011131645.1,queG,0,C,B,945
WP_011131645.1,queG,0,C,C,607
WP_011131645.1,queG,0,HV,A,429
WP_011131645.1,queG,0,HV,B,633
WP_011131645.1,queG,0,HV,C,1009
WP_011131645.1,queG,12,C,A,2418
WP_011131645.1,queG,12,C,B,1992
WP_011131645.1,queG,12,C,C,1982
WP_011131645.1,queG,12,HV,A,429
WP_011131645.1,queG,12,HV,B,1142
WP_011131645.1,queG,12,HV,C,407
WP_011131645.1,queG,24,HV,A,26
WP_011131645.1,queG,24,HV,B,27
WP_011131645.1,queG,24,HV,C,28
WP_011131645.1,queG,24,C,A,1321
WP_011131645.1,queG,24,C,B,902
WP_011131645.1,queG,36,C,A,1970
WP_011131645.1,queG,36,C,B,1454
WP_011131645.1,queG,36,C,C,2533
WP_011131645.1,queG,36,HV,A,43
WP_011131645.1,queG,36,HV,B,58
WP_011131645.1,queG,36,HV,C,24
WP_011131648.1,ftsY,0,C,A,619
WP_011131648.1,ftsY,0,C,B,982
WP_011131648.1,ftsY,0,C,C,675
WP_011131648.1,ftsY,0,HV,A,434
WP_011131648.1,ftsY,0,HV,B,627
WP_011131648.1,ftsY,0,HV,C,933
WP_011131648.1,ftsY,12,C,A,2599
WP_011131648.1,ftsY,12,C,B,1437
WP_011131648.1,ftsY,12,C,C,1746
WP_011131648.1,ftsY,12,HV,A,730
WP_011131648.1,ftsY,12,HV,B,1198
WP_011131648.1,ftsY,12,HV,C,638
WP_011131648.1,ftsY,24,HV,A,48
WP_011131648.1,ftsY,24,HV,B,33
WP_011131648.1,ftsY,24,HV,C,26
WP_011131648.1,ftsY,24,C,A,1468
WP_011131648.1,ftsY,24,C,B,1193
WP_011131648.1,ftsY,36,C,A,2015
WP_011131648.1,ftsY,36,C,B,1643
WP_011131648.1,ftsY,36,C,C,2419
WP_011131648.1,ftsY,36,HV,A,25
WP_011131648.1,ftsY,36,HV,B,29
WP_011131648.1,ftsY,36,HV,C,19
WP_011131649.1,rsbU,0,C,A,930
WP_011131649.1,rsbU,0,C,B,1441
WP_011131649.1,rsbU,0,C,C,1121
WP_011131649.1,rsbU,0,HV,A,620
WP_011131649.1,rsbU,0,HV,B,768
WP_011131649.1,rsbU,0,HV,C,1507
WP_011131649.1,rsbU,12,C,A,3169
WP_011131649.1,rsbU,12,C,B,2238
WP_011131649.1,rsbU,12,C,C,1745
WP_011131649.1,rsbU,12,HV,A,544
WP_011131649.1,rsbU,12,HV,B,2049
WP_011131649.1,rsbU,12,HV,C,1007
WP_011131649.1,rsbU,24,HV,A,60
WP_011131649.1,rsbU,24,HV,B,68
WP_011131649.1,rsbU,24,HV,C,31
WP_011131649.1,rsbU,24,C,A,2004
WP_011131649.1,rsbU,24,C,B,1118
WP_011131649.1,rsbU,36,C,A,1785
WP_011131649.1,rsbU,36,C,B,987
WP_011131649.1,rsbU,36,C,C,2488
WP_011131649.1,rsbU,36,HV,A,23
WP_011131649.1,rsbU,36,HV,B,49
WP_011131649.1,rsbU,36,HV,C,25
WP_011131650.1,argH,0,C,A,1093
WP_011131650.1,argH,0,C,B,1653
WP_011131650.1,argH,0,C,C,1678
WP_011131650.1,argH,0,HV,A,955
WP_011131650.1,argH,0,HV,B,1160
WP_011131650.1,argH,0,HV,C,2733
WP_011131650.1,argH,12,C,A,6487
WP_011131650.1,argH,12,C,B,5525
WP_011131650.1,argH,12,C,C,6074
WP_011131650.1,argH,12,HV,A,1585
WP_011131650.1,argH,12,HV,B,4174
WP_011131650.1,argH,12,HV,C,1871
WP_011131650.1,argH,24,HV,A,99
WP_011131650.1,argH,24,HV,B,82
WP_011131650.1,argH,24,HV,C,54
WP_011131650.1,argH,24,C,A,3359
WP_011131650.1,argH,24,C,B,2770
WP_011131650.1,argH,36,C,A,6291
WP_011131650.1,argH,36,C,B,4633
WP_011131650.1,argH,36,C,C,7458
WP_011131650.1,argH,36,HV,A,71
WP_011131650.1,argH,36,HV,B,109
WP_011131650.1,argH,36,HV,C,58
WP_011131652.1,dusA,0,C,A,795
WP_011131652.1,dusA,0,C,B,1331
WP_011131652.1,dusA,0,C,C,893
WP_011131652.1,dusA,0,HV,A,757
WP_011131652.1,dusA,0,HV,B,810
WP_011131652.1,dusA,0,HV,C,1567
WP_011131652.1,dusA,12,C,A,2741
WP_011131652.1,dusA,12,C,B,1991
WP_011131652.1,dusA,12,C,C,1604
WP_011131652.1,dusA,12,HV,A,514
WP_011131652.1,dusA,12,HV,B,1989
WP_011131652.1,dusA,12,HV,C,898
WP_011131652.1,dusA,24,HV,A,183
WP_011131652.1,dusA,24,HV,B,140
WP_011131652.1,dusA,24,HV,C,50
WP_011131652.1,dusA,24,C,A,1663
WP_011131652.1,dusA,24,C,B,770
WP_011131652.1,dusA,36,C,A,1616
WP_011131652.1,dusA,36,C,B,969
WP_011131652.1,dusA,36,C,C,2273
WP_011131652.1,dusA,36,HV,A,27
WP_011131652.1,dusA,36,HV,B,36
WP_011131652.1,dusA,36,HV,C,20
WP_011131653.1,msrB,0,C,A,5651
WP_011131653.1,msrB,0,C,B,8570
WP_011131653.1,msrB,0,C,C,4663
WP_011131653.1,msrB,0,HV,A,5011
WP_011131653.1,msrB,0,HV,B,4945
WP_011131653.1,msrB,0,HV,C,6980
WP_011131653.1,msrB,12,C,A,4274
WP_011131653.1,msrB,12,C,B,2996
WP_011131653.1,msrB,12,C,C,2551
WP_011131653.1,msrB,12,HV,A,1238
WP_011131653.1,msrB,12,HV,B,6265
WP_011131653.1,msrB,12,HV,C,3478
WP_011131653.1,msrB,24,HV,A,645
WP_011131653.1,msrB,24,HV,B,545
WP_011131653.1,msrB,24,HV,C,160
WP_011131653.1,msrB,24,C,A,5472
WP_011131653.1,msrB,24,C,B,2797
WP_011131653.1,msrB,36,C,A,3019
WP_011131653.1,msrB,36,C,B,1884
WP_011131653.1,msrB,36,C,C,4608
WP_011131653.1,msrB,36,HV,A,84
WP_011131653.1,msrB,36,HV,B,84
WP_011131653.1,msrB,36,HV,C,79
WP_011131654.1,grpE,0,C,A,17351
WP_011131654.1,grpE,0,C,B,31697
WP_011131654.1,grpE,0,C,C,17152
WP_011131654.1,grpE,0,HV,A,14649
WP_011131654.1,grpE,0,HV,B,13153
WP_011131654.1,grpE,0,HV,C,20912
WP_011131654.1,grpE,12,C,A,41816
WP_011131654.1,grpE,12,C,B,32244
WP_011131654.1,grpE,12,C,C,32965
WP_011131654.1,grpE,12,HV,A,9581
WP_011131654.1,grpE,12,HV,B,22247
WP_011131654.1,grpE,12,HV,C,9812
WP_011131654.1,grpE,24,HV,A,1053
WP_011131654.1,grpE,24,HV,B,931
WP_011131654.1,grpE,24,HV,C,379
WP_011131654.1,grpE,24,C,A,50361
WP_011131654.1,grpE,24,C,B,17849
WP_011131654.1,grpE,36,C,A,35834
WP_011131654.1,grpE,36,C,B,20789
WP_011131654.1,grpE,36,C,C,58473
WP_011131654.1,grpE,36,HV,A,508
WP_011131654.1,grpE,36,HV,B,655
WP_011131654.1,grpE,36,HV,C,413
WP_011131655.1,dnaJ,0,C,A,6072
WP_011131655.1,dnaJ,0,C,B,9609
WP_011131655.1,dnaJ,0,C,C,6368
WP_011131655.1,dnaJ,0,HV,A,5932
WP_011131655.1,dnaJ,0,HV,B,5434
WP_011131655.1,dnaJ,0,HV,C,9988
WP_011131655.1,dnaJ,12,C,A,19820
WP_011131655.1,dnaJ,12,C,B,15031
WP_011131655.1,dnaJ,12,C,C,16278
WP_011131655.1,dnaJ,12,HV,A,5501
WP_011131655.1,dnaJ,12,HV,B,10790
WP_011131655.1,dnaJ,12,HV,C,5327
WP_011131655.1,dnaJ,24,HV,A,459
WP_011131655.1,dnaJ,24,HV,B,369
WP_011131655.1,dnaJ,24,HV,C,203
WP_011131655.1,dnaJ,24,C,A,14760
WP_011131655.1,dnaJ,24,C,B,7471
WP_011131655.1,dnaJ,36,C,A,14541
WP_011131655.1,dnaJ,36,C,B,8509
WP_011131655.1,dnaJ,36,C,C,20543
WP_011131655.1,dnaJ,36,HV,A,232
WP_011131655.1,dnaJ,36,HV,B,304
WP_011131655.1,dnaJ,36,HV,C,195
WP_011131656.1,sirA,0,C,A,1033
WP_011131656.1,sirA,0,C,B,1061
WP_011131656.1,sirA,0,C,C,1155
WP_011131656.1,sirA,0,HV,A,957
WP_011131656.1,sirA,0,HV,B,971
WP_011131656.1,sirA,0,HV,C,2120
WP_011131656.1,sirA,12,C,A,2571
WP_011131656.1,sirA,12,C,B,2308
WP_011131656.1,sirA,12,C,C,2529
WP_011131656.1,sirA,12,HV,A,688
WP_011131656.1,sirA,12,HV,B,1571
WP_011131656.1,sirA,12,HV,C,735
WP_011131656.1,sirA,24,HV,A,40
WP_011131656.1,sirA,24,HV,B,49
WP_011131656.1,sirA,24,HV,C,20
WP_011131656.1,sirA,24,C,A,1406
WP_011131656.1,sirA,24,C,B,1270
WP_011131656.1,sirA,36,C,A,1654
WP_011131656.1,sirA,36,C,B,1044
WP_011131656.1,sirA,36,C,C,2160
WP_011131656.1,sirA,36,HV,A,16
WP_011131656.1,sirA,36,HV,B,24
WP_011131656.1,sirA,36,HV,C,23
WP_011131657.1,rsgA,0,C,A,1076
WP_011131657.1,rsgA,0,C,B,1325
WP_011131657.1,rsgA,0,C,C,1225
WP_011131657.1,rsgA,0,HV,A,919
WP_011131657.1,rsgA,0,HV,B,1074
WP_011131657.1,rsgA,0,HV,C,2520
WP_011131657.1,rsgA,12,C,A,3526
WP_011131657.1,rsgA,12,C,B,2868
WP_011131657.1,rsgA,12,C,C,2850
WP_011131657.1,rsgA,12,HV,A,718
WP_011131657.1,rsgA,12,HV,B,2565
WP_011131657.1,rsgA,12,HV,C,1276
WP_011131657.1,rsgA,24,HV,A,115
WP_011131657.1,rsgA,24,HV,B,115
WP_011131657.1,rsgA,24,HV,C,87
WP_011131657.1,rsgA,24,C,A,1779
WP_011131657.1,rsgA,24,C,B,1270
WP_011131657.1,rsgA,36,C,A,1730
WP_011131657.1,rsgA,36,C,B,958
WP_011131657.1,rsgA,36,C,C,2459
WP_011131657.1,rsgA,36,HV,A,67
WP_011131657.1,rsgA,36,HV,B,87
WP_011131657.1,rsgA,36,HV,C,61
WP_011131658.1,PMM0020,0,C,A,2982
WP_011131658.1,PMM0020,0,C,B,3542
WP_011131658.1,PMM0020,0,C,C,2399
WP_011131658.1,PMM0020,0,HV,A,1791
WP_011131658.1,PMM0020,0,HV,B,2598
WP_011131658.1,PMM0020,0,HV,C,3368
WP_011131658.1,PMM0020,12,C,A,10749
WP_011131658.1,PMM0020,12,C,B,11254
WP_011131658.1,PMM0020,12,C,C,11888
WP_011131658.1,PMM0020,12,HV,A,3047
WP_011131658.1,PMM0020,12,HV,B,5502
WP_011131658.1,PMM0020,12,HV,C,2039
WP_011131658.1,PMM0020,24,HV,A,88
WP_011131658.1,PMM0020,24,HV,B,61
WP_011131658.1,PMM0020,24,HV,C,32
WP_011131658.1,PMM0020,24,C,A,5231
WP_011131658.1,PMM0020,24,C,B,6252
WP_011131658.1,PMM0020,36,C,A,15024
WP_011131658.1,PMM0020,36,C,B,12525
WP_011131658.1,PMM0020,36,C,C,15532
WP_011131658.1,PMM0020,36,HV,A,76
WP_011131658.1,PMM0020,36,HV,B,137
WP_011131658.1,PMM0020,36,HV,C,30
WP_011131659.1,murB,0,C,A,398
WP_011131659.1,murB,0,C,B,422
WP_011131659.1,murB,0,C,C,410
WP_011131659.1,murB,0,HV,A,244
WP_011131659.1,murB,0,HV,B,369
WP_011131659.1,murB,0,HV,C,848
WP_011131659.1,murB,12,C,A,1219
WP_011131659.1,murB,12,C,B,717
WP_011131659.1,murB,12,C,C,921
WP_011131659.1,murB,12,HV,A,266
WP_011131659.1,murB,12,HV,B,816
WP_011131659.1,murB,12,HV,C,459
WP_011131659.1,murB,24,HV,A,84
WP_011131659.1,murB,24,HV,B,48
WP_011131659.1,murB,24,HV,C,20
WP_011131659.1,murB,24,C,A,746
WP_011131659.1,murB,24,C,B,672
WP_011131659.1,murB,36,C,A,729
WP_011131659.1,murB,36,C,B,386
WP_011131659.1,murB,36,C,C,1031
WP_011131659.1,murB,36,HV,A,24
WP_011131659.1,murB,36,HV,B,28
WP_011131659.1,murB,36,HV,C,20
WP_011131660.1,murC,0,C,A,944
WP_011131660.1,murC,0,C,B,1178
WP_011131660.1,murC,0,C,C,1074
WP_011131660.1,murC,0,HV,A,666
WP_011131660.1,murC,0,HV,B,920
WP_011131660.1,murC,0,HV,C,2020
WP_011131660.1,murC,12,C,A,4567
WP_011131660.1,murC,12,C,B,2498
WP_011131660.1,murC,12,C,C,2620
WP_011131660.1,murC,12,HV,A,886
WP_011131660.1,murC,12,HV,B,2147
WP_011131660.1,murC,12,HV,C,1143
WP_011131660.1,murC,24,HV,A,130
WP_011131660.1,murC,24,HV,B,116
WP_011131660.1,murC,24,HV,C,35
WP_011131660.1,murC,24,C,A,1712
WP_011131660.1,murC,24,C,B,1273
WP_011131660.1,murC,36,C,A,2302
WP_011131660.1,murC,36,C,B,1410
WP_011131660.1,murC,36,C,C,3072
WP_011131660.1,murC,36,HV,A,52
WP_011131660.1,murC,36,HV,B,57
WP_011131660.1,murC,36,HV,C,33
WP_011131661.1,gap2,0,C,A,92122
WP_011131661.1,gap2,0,C,B,84531
WP_011131661.1,gap2,0,C,C,99503
WP_011131661.1,gap2,0,HV,A,77349
WP_011131661.1,gap2,0,HV,B,56674
WP_011131661.1,gap2,0,HV,C,122003
WP_011131661.1,gap2,12,C,A,18280
WP_011131661.1,gap2,12,C,B,17620
WP_011131661.1,gap2,12,C,C,20811
WP_011131661.1,gap2,12,HV,A,5798
WP_011131661.1,gap2,12,HV,B,11469
WP_011131661.1,gap2,12,HV,C,4742
WP_011131661.1,gap2,24,HV,A,1081
WP_011131661.1,gap2,24,HV,B,663
WP_011131661.1,gap2,24,HV,C,437
WP_011131661.1,gap2,24,C,A,136992
WP_011131661.1,gap2,24,C,B,135768
WP_011131661.1,gap2,36,C,A,28210
WP_011131661.1,gap2,36,C,B,19449
WP_011131661.1,gap2,36,C,C,34036
WP_011131661.1,gap2,36,HV,A,239
WP_011131661.1,gap2,36,HV,B,341
WP_011131661.1,gap2,36,HV,C,233
WP_011131662.1,thiL,0,C,A,2324
WP_011131662.1,thiL,0,C,B,2722
WP_011131662.1,thiL,0,C,C,2173
WP_011131662.1,thiL,0,HV,A,2066
WP_011131662.1,thiL,0,HV,B,2121
WP_011131662.1,thiL,0,HV,C,3201
WP_011131662.1,thiL,12,C,A,3476
WP_011131662.1,thiL,12,C,B,2370
WP_011131662.1,thiL,12,C,C,2604
WP_011131662.1,thiL,12,HV,A,801
WP_011131662.1,thiL,12,HV,B,2462
WP_011131662.1,thiL,12,HV,C,1282
WP_011131662.1,thiL,24,HV,A,158
WP_011131662.1,thiL,24,HV,B,137
WP_011131662.1,thiL,24,HV,C,64
WP_011131662.1,thiL,24,C,A,2870
WP_011131662.1,thiL,24,C,B,2819
WP_011131662.1,thiL,36,C,A,2467
WP_011131662.1,thiL,36,C,B,1507
WP_011131662.1,thiL,36,C,C,3099
WP_011131662.1,thiL,36,HV,A,38
WP_011131662.1,thiL,36,HV,B,74
WP_011131662.1,thiL,36,HV,C,45
WP_011131663.1,PMM0025,0,C,A,19011
WP_011131663.1,PMM0025,0,C,B,21044
WP_011131663.1,PMM0025,0,C,C,13059
WP_011131663.1,PMM0025,0,HV,A,11220
WP_011131663.1,PMM0025,0,HV,B,11197
WP_011131663.1,PMM0025,0,HV,C,14540
WP_011131663.1,PMM0025,12,C,A,7731
WP_011131663.1,PMM0025,12,C,B,5690
WP_011131663.1,PMM0025,12,C,C,6525
WP_011131663.1,PMM0025,12,HV,A,1603
WP_011131663.1,PMM0025,12,HV,B,3103
WP_011131663.1,PMM0025,12,HV,C,1485
WP_011131663.1,PMM0025,24,HV,A,241
WP_011131663.1,PMM0025,24,HV,B,174
WP_011131663.1,PMM0025,24,HV,C,70
WP_011131663.1,PMM0025,24,C,A,16345
WP_011131663.1,PMM0025,24,C,B,16107
WP_011131663.1,PMM0025,36,C,A,8462
WP_011131663.1,PMM0025,36,C,B,5723
WP_011131663.1,PMM0025,36,C,C,10239
WP_011131663.1,PMM0025,36,HV,A,76
WP_011131663.1,PMM0025,36,HV,B,98
WP_011131663.1,PMM0025,36,HV,C,62
WP_011131664.1,efp,0,C,A,4310
WP_011131664.1,efp,0,C,B,4462
WP_011131664.1,efp,0,C,C,5145
WP_011131664.1,efp,0,HV,A,3219
WP_011131664.1,efp,0,HV,B,3172
WP_011131664.1,efp,0,HV,C,6750
WP_011131664.1,efp,12,C,A,7114
WP_011131664.1,efp,12,C,B,5730
WP_011131664.1,efp,12,C,C,6182
WP_011131664.1,efp,12,HV,A,1998
WP_011131664.1,efp,12,HV,B,3073
WP_011131664.1,efp,12,HV,C,1568
WP_011131664.1,efp,24,HV,A,155
WP_011131664.1,efp,24,HV,B,99
WP_011131664.1,efp,24,HV,C,52
WP_011131664.1,efp,24,C,A,7845
WP_011131664.1,efp,24,C,B,7544
WP_011131664.1,efp,36,C,A,6566
WP_011131664.1,efp,36,C,B,3716
WP_011131664.1,efp,36,C,C,7498
WP_011131664.1,efp,36,HV,A,77
